CityID,Price,DayTypeID,roomtypeID,Shared Room,Private Room,PersonCapID,Superhost,Multiple Rooms,Business,Cleanliness Rating,Guest Satisfaction,Bedrooms,City Center (km),Metro Distance (km),Attraction Index,Normalised Attraction Index,Restraunt Index,Normalised Restraunt Index
1,497.7386,1,1,FALSE,TRUE,1,FALSE,TRUE,FALSE,10,95,1,1.0951,0.9852,295.5283,15.6484,431.2708,30.0516
1,399.5501,1,2,FALSE,FALSE,1,TRUE,FALSE,FALSE,10,97,1,9.3355,0.3805,49.3257,2.6118,61.5895,4.2916
1,761.84,1,1,FALSE,TRUE,2,FALSE,FALSE,FALSE,9,93,2,1.0912,1.2167,367.6279,19.4661,434.2124,30.2565
1,317.0623,1,1,FALSE,TRUE,1,FALSE,TRUE,FALSE,8,90,1,2.6322,1.1722,151.0364,7.9975,191.4557,13.3409
1,319.4057,1,1,FALSE,TRUE,1,FALSE,FALSE,FALSE,10,96,1,0.3531,0.4957,500.5235,26.5031,797.9796,55.6044
1,209.0315,1,1,FALSE,TRUE,1,TRUE,TRUE,FALSE,10,97,1,4.6877,3.632,90.3948,4.7865,112.9862,7.873
1,209.0315,1,1,FALSE,TRUE,1,TRUE,TRUE,FALSE,10,98,1,4.6125,3.6259,92.0466,4.8739,115.1569,8.0243
1,640.4518,1,2,FALSE,FALSE,1,FALSE,FALSE,FALSE,9,96,1,1.7326,0.5044,386.06,20.4421,430.8706,30.0237
1,209.0315,1,1,FALSE,TRUE,1,TRUE,TRUE,FALSE,10,98,1,4.6869,3.5959,90.2761,4.7802,112.8022,7.8602
1,934.0801,1,1,FALSE,TRUE,2,TRUE,TRUE,FALSE,10,96,1,1.1199,0.3824,373.359,19.7696,414.2459,28.8653
1,210.2032,1,1,FALSE,TRUE,1,FALSE,TRUE,FALSE,9,88,1,2.4789,1.3334,172.831,9.1515,215.364,15.0069
1,221.2172,1,1,FALSE,TRUE,1,FALSE,FALSE,FALSE,9,94,1,6.059,1.7482,77.9491,4.1275,96.9759,6.7574
1,441.2626,1,1,FALSE,TRUE,1,FALSE,TRUE,FALSE,10,91,1,0.7922,0.7338,362.7605,19.2084,522.4451,36.4047
1,325.4986,1,1,FALSE,TRUE,1,FALSE,TRUE,FALSE,8,80,1,0.925,0.7818,327.0954,17.3199,478.7234,33.3581
